Table-ID: zip-os-values
Title: Zip operating system codes

Value|Meaning
0    |FAT file system (DOS, OS/2, NT)
1    |Amiga
2    |VMS (VAX or Alpha AXP)
3    |Unix
4    |VM/CMS
5    |Atari
6    |HPFS file system (OS/2, NT 3.x)
7    |Macintosh
8    |Z-System
9    |CP/M
10   |TOPS-20
11   |NTFS file system (NT)
12   |SMS/QDOS
13   |Acorn RISC OS
14   |VFAT file system (Win95, NT)
15   |MVS
16   |BeOS (BeBox or PowerMac)
17   |Tandem
